BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId
218,-210.2497,821.597,848.0723,14.35416,43,4
219,-401.1858,-750.1542,850.6946,151.8619,232,8
220,805.0182,283.0133,853.3176,70.63029,211,32
221,-787.181,336.1271,855.9412,66.87747,22,11
222,354.4759,-781.973,858.5656,155.6148,22,25
223,267.6514,818.5427,861.1906,18.10698,127,7
224,-752.5632,-424.0612,863.8166,119.4008,169,15
225,843.9243,-196.2544,866.4434,103.0914,106,29
226,-122.4604,-863.0544,871.6992,171.9241,253,22
227,675.314,555.3388,874.3284,50.56812,211,30
228,-875.7078,46.81884,876.9584,86.93965,64,12
229,-30.09963,881.7075,882.2211,1.955247,85,5
230,-575.1014,-672.4766,884.8539,139.463,253,17
231,880.9274,107.7077,887.4874,83.02926,169,33
232,185.4058,-873.2931,892.7576,168.0137,43,24
233,454.5269,771.4507,895.3942,30.50594,190,18
234,-858.7834,-262.5865,898.0316,107.0018,127,14
235,812.9966,-387.6122,900.6702,115.4904,316,35
236,-338.6399,837.4316,903.3099,22.01738,22,3
237,-316.8979,-848.7176,905.9503,159.5251,316,21
238,809.3242,412.9572,908.592,62.96708,253,31
239,-878.2661,242.8931,911.2346,74.5407,43,11
240,484.9372,-774.6028,913.8783,147.9515,22,26
241,166.1384,901.3393,916.5231,10.44376,127,6
242,-733.4624,-553.9896,919.1689,127.064,211,16
243,917.6823,-87.20245,921.8162,95.42822,148,34
244,-6.677406,-927.0897,927.1138,179.5874,169,23
245,632.9681,681.038,929.7642,42.9049,232,19
246,-929.4089,-74.82542,932.416,94.60287,106,13
247,-156.6802,924.5408,937.723,9.618402,64,4
248,-510.4285,-789.7938,940.3784,147.1262,253,8
249,912.4424,238.2512,943.0349,75.36604,232,32
250,-836.093,441.9088,945.6928,62.14175,22,10
251,318.8981,-893.1266,948.3519,160.3505,43,25
252,369.1856,876.4282,951.0123,22.84272,148,7
253,-866.6635,-397.9804,953.674,114.6651,190,15
254,910.4177,-292.7795,956.337,107.8272,127,29
255,-474.8634,833.1795,959.0012,29.6806,22,2
256,-213.2461,-937.7256,961.6669,167.1884,274,22
257,792.8583,548.9223,964.3339,55.30385,232,30
258,-958.0644,131.1717,967.0023,82.20393,85,12
259,619.5475,-745.9388,969.672,140.2883,64,27
260,47.16879,971.1984,972.3431,2.780589,106,5
261,-692.7146,-686.1501,975.0157,134.7272,274,17
262,976.9459,38.12833,977.6897,87.76499,190,33
263,-748.1666,633.5314,980.3649,49.74279,22,9
264,124.0683,-975.1812,983.0418,172.7495,64,24
265,568.7865,805.0624,985.7198,35.24167,211,18
266,-965.8358,-209.9877,988.3995,102.2661,148,14
267,856.3387,-498.9239,991.0807,120.2261,337,35
268,-295.2163,948.9009,993.7633,17.28164,43,3
269,-424.4331,-901.5342,996.4473,154.7894,337,21
270,924.4263,379.0819,999.1332,67.70281,274,31
271,-940.2313,345.8452,1001.82,69.80496,64,11
272,460.916,-892.5216,1004.509,152.6873,43,26
273,263.7288,972.0585,1007.199,15.17949,148,6
274,-853.3558,-540.059,1009.891,122.3283,232,16
275,996.6937,-178.6861,1012.584,100.1639,169,34
276,-615.8652,807.157,1015.279,37.34383,274,1
277,-91.34873,-1013.869,1017.976,174.8516,190,23
278,754.21,687.7083,1020.674,47.64063,253,19
279,754.9869,-694.8561,1026.075,132.6251,85,28
280,-87.56538,1025.045,1028.778,4.882707,85,4
281,-629.4904,-817.1284,1031.483,142.3905,274,8
282,1018.795,177.7758,1034.189,80.10177,253,32
283,-873.5951,558.5585,1036.897,57.406,43,10
284,267.5587,-1004.587,1039.607,165.0862,64,25
285,482.5544,923.8878,1042.318,27.57845,169,7
286,-982.4485,-356.2103,1045.031,109.9293,211,15
287,967.5504,-402.0175,1047.746,112.5629,148,29
288,-443.0285,952.4692,1050.463,24.94487,43,2
289,-317.5277,-1004.174,1053.181,162.4527,295,22
290,914.8016,527.3185,1055.901,60.03959,253,30
291,-1033.402,229.7017,1058.623,77.46819,106,12
292,608.3984,-869.6594,1061.346,145.024,85,27
293,139.1887,1054.929,1064.072,7.516273,127,5
294,-817.3168,-685.6039,1066.799,129.9915,295,17
