PathId,Host,Universe,ChannelStart,Fixture0,Fixture1,DistanceM,DistanceFt
Path67,192.168.0.65,-1,1,200,227,2.853546,9.362027
Path67,192.168.0.65,-1,1,227,257,2.990067,9.809933
Path67,192.168.0.65,-1,1,257,290,3.145591,10.32018
Path67,192.168.0.65,-1,1,290,321,3.316308,10.88028
Path67,192.168.0.65,-1,1,321,355,3.500404,11.48427
Path67,192.168.0.65,-1,1,355,389,3.696797,12.1286
Path68,192.168.0.65,-1,1,42,87,2.508583,8.230258
Path68,192.168.0.65,-1,1,87,74,2.149429,7.051933
Path68,192.168.0.65,-1,1,74,82,2.955568,9.696746
Path68,192.168.0.65,-1,1,82,69,2.090432,6.858373
Path68,192.168.0.65,-1,1,69,77,2.808784,9.215171
Path68,192.168.0.65,-1,1,77,97,2.139235,7.018486
Path68,192.168.0.65,-1,1,97,113,2.155527,7.071939
Path68,192.168.0.65,-1,1,113,137,2.64835,8.688811
Path68,192.168.0.65,-1,1,137,160,2.630633,8.630687
Path68,192.168.0.65,-1,1,160,184,2.683857,8.805305
Path68,192.168.0.65,-1,1,184,210,2.778813,9.116839
Path68,192.168.0.65,-1,1,210,238,2.903686,9.52653
Path68,192.168.0.65,-1,1,238,270,3.047576,9.998609
Path68,192.168.0.65,-1,1,270,301,3.209186,10.52882
Path68,192.168.0.65,-1,1,301,334,3.385199,11.1063
Path68,192.168.0.65,-1,1,334,368,3.574082,11.72599
Path68,192.168.0.65,-1,1,368,402,3.773453,12.38009
Path69,192.168.0.65,-1,1,41,105,2.067454,6.782984
Path69,192.168.0.65,-1,1,105,95,2.425979,7.959249
Path69,192.168.0.65,-1,1,95,101,3.540482,11.61575
Path69,192.168.0.65,-1,1,101,90,2.357637,7.735031
Path69,192.168.0.65,-1,1,90,107,2.138866,7.017276
Path69,192.168.0.65,-1,1,107,122,2.200798,7.220467
Path69,192.168.0.65,-1,1,122,145,2.630224,8.629345
Path69,192.168.0.65,-1,1,145,169,2.644684,8.676785
Path69,192.168.0.65,-1,1,169,194,2.716277,8.911671
Path69,192.168.0.65,-1,1,194,220,2.823971,9.264997
Path69,192.168.0.65,-1,1,220,249,2.955975,9.698081
Path69,192.168.0.65,-1,1,249,282,3.107546,10.19536
Path69,192.168.0.65,-1,1,282,313,3.27488,10.74436
Path69,192.168.0.65,-1,1,313,347,3.455953,11.33843
Path69,192.168.0.65,-1,1,347,381,3.649515,11.97347
Path69,192.168.0.65,-1,1,381,415,3.854855,12.64716
Path70,192.168.0.65,-1,1,40,120,2.74631,9.010204
Path70,192.168.0.65,-1,1,120,111,2.71885,8.920111
Path70,192.168.0.65,-1,1,111,117,4.086731,13.40791
Path70,192.168.0.65,-1,1,117,131,2.261658,7.420139
Path70,192.168.0.65,-1,1,131,155,2.626805,8.618126
Path70,192.168.0.65,-1,1,155,179,2.666827,8.749434
Path70,192.168.0.65,-1,1,179,204,2.753482,9.033734
Path70,192.168.0.65,-1,1,204,231,2.872448,9.424041
Path70,192.168.0.65,-1,1,231,262,3.011891,9.881532
Path70,192.168.0.65,-1,1,262,416,3.169807,10.39963
Path70,192.168.0.65,-1,1,416,326,3.342566,10.96643
Path70,192.168.0.65,-1,1,326,360,3.528531,11.57654
Path70,192.168.0.65,-1,1,360,394,3.726669,12.2266
Path71,192.168.0.65,-1,1,39,135,4.488034,14.72452
Path71,192.168.0.65,-1,1,135,126,3.014439,9.889891
Path71,192.168.0.65,-1,1,126,141,2.333319,7.655245
Path71,192.168.0.65,-1,1,141,164,2.634974,8.644928
Path71,192.168.0.65,-1,1,164,188,2.695665,8.844044
Path71,192.168.0.65,-1,1,188,214,2.796159,9.17375
Path71,192.168.0.65,-1,1,214,243,2.922938,9.589692
Path71,192.168.0.65,-1,1,243,275,3.07036,10.07336
Path71,192.168.0.65,-1,1,275,306,3.234214,10.61094
Path71,192.168.0.65,-1,1,306,339,3.412186,11.19483
Path71,192.168.0.65,-1,1,339,373,3.602894,11.82052
Path71,192.168.0.65,-1,1,373,407,3.805506,12.48526
Path72,192.168.0.65,-1,1,37,182,3.318681,10.88806
Path72,192.168.0.65,-1,1,182,208,2.769131,9.085075
Path72,192.168.0.65,-1,1,208,235,2.891831,9.487635
Path72,192.168.0.65,-1,1,235,267,3.034083,9.95434
Path72,192.168.0.65,-1,1,267,298,3.194323,10.48006
Path72,192.168.0.65,-1,1,298,331,3.369127,11.05357
Path72,192.168.0.65,-1,1,331,365,3.556921,11.66969
Path72,192.168.0.65,-1,1,365,399,3.756793,12.32543
