StalkId,PlantId,x,z,ChannelStart,Universe,IPAddress,StemIndex
2630,375,-164.8502,1171.006,352,1,192.168.0.220,5
2631,375,-168.0138,1175.356,355,1,192.168.0.220,6
2618,374,-59.83908,1185.264,358,1,192.168.0.220,0
2619,374,-59.75293,1183.559,361,1,192.168.0.220,1
2620,374,-59.35291,1188.885,364,1,192.168.0.220,2
2621,374,-55.76834,1188.21,367,1,192.168.0.220,3
2622,374,-56.05056,1180.39,370,1,192.168.0.220,4
2623,374,-63.11425,1180.867,373,1,192.168.0.220,5
2624,374,-65.89034,1185.474,376,1,192.168.0.220,6
2219,317,-870.0994,647.0297,1,2,192.168.0.220,0
2220,317,-868.7292,646.0109,4,2,192.168.0.220,1
2221,317,-872.5828,649.709,7,2,192.168.0.220,2
2222,317,-869.7808,652.0444,10,2,192.168.0.220,3
2223,317,-863.929,646.8502,13,2,192.168.0.220,4
2224,317,-868.7925,641.7053,16,2,192.168.0.220,5
2225,317,-874.1129,642.496,19,2,192.168.0.220,6
2212,316,-803.0888,728.5387,22,2,192.168.0.220,0
2213,316,-801.8241,727.3915,25,2,192.168.0.220,1
2214,316,-805.3,731.4467,28,2,192.168.0.220,2
2215,316,-802.2843,733.4987,31,2,192.168.0.220,3
2216,316,-796.965,727.7603,34,2,192.168.0.220,4
2217,316,-802.3055,723.1125,37,2,192.168.0.220,5
2218,316,-807.5239,724.4167,40,2,192.168.0.220,6
2205,315,-728.4729,803.1487,43,2,192.168.0.220,0
2206,315,-727.3257,801.8841,46,2,192.168.0.220,1
2207,315,-730.391,806.2578,49,2,192.168.0.220,2
2208,315,-727.1901,808.007,52,2,192.168.0.220,3
2209,315,-722.4538,801.7787,55,2,192.168.0.220,4
2210,315,-728.2208,797.6721,58,2,192.168.0.220,5
2211,315,-733.2877,799.4773,61,2,192.168.0.220,6
2198,314,-646.9583,870.1525,64,2,192.168.0.220,0
2199,314,-645.9395,868.7823,67,2,192.168.0.220,1
2200,314,-648.5651,873.4334,70,2,192.168.0.220,2
2201,314,-645.2094,874.8631,73,2,192.168.0.220,3
2202,314,-641.1008,868.204,76,2,192.168.0.220,4
2203,314,-647.2397,864.6772,79,2,192.168.0.220,5
2204,314,-652.1072,866.9664,82,2,192.168.0.220,6
2191,313,-559.3168,928.9161,85,2,192.168.0.220,0
2192,313,-558.436,927.4534,88,2,192.168.0.220,1
2193,313,-560.5971,932.3376,91,2,192.168.0.220,2
2194,313,-557.1183,933.4344,94,2,192.168.0.220,3
2195,313,-553.6765,926.4075,97,2,192.168.0.220,4
2196,313,-560.1291,923.4941,100,2,192.168.0.220,5
2197,313,-564.751,926.2456,103,2,192.168.0.220,6
2184,312,-466.3788,978.8827,106,2,192.168.0.220,0
2185,312,-465.6443,977.3413,109,2,192.168.0.220,1
2186,312,-467.3205,982.4124,112,2,192.168.0.220,2
2187,312,-463.7516,983.1659,115,2,192.168.0.220,3
2188,312,-461.009,975.8376,118,2,192.168.0.220,4
2189,312,-467.7143,973.5654,121,2,192.168.0.220,5
2190,312,-472.0468,976.7531,124,2,192.168.0.220,6
2177,311,-369.0241,1019.579,127,2,192.168.0.220,0
2178,311,-368.443,1017.974,130,2,192.168.0.220,1
2179,311,-369.6183,1023.184,133,2,192.168.0.220,2
2180,311,-365.993,1023.587,136,2,192.168.0.220,3
2181,311,-363.9758,1016.027,139,2,192.168.0.220,4
2182,311,-370.8701,1014.417,142,2,192.168.0.220,5
2183,311,-374.8723,1018.011,145,2,192.168.0.220,6
2170,310,-268.1748,1050.62,148,2,192.168.0.220,0
2171,310,-267.7524,1048.966,151,2,192.168.0.220,1
2172,310,-268.4157,1054.266,154,2,192.168.0.220,2
2173,310,-264.7685,1054.314,157,2,192.168.0.220,3
2174,310,-263.4956,1046.594,160,2,192.168.0.220,4
2175,310,-270.5138,1045.662,163,2,192.168.0.220,5
2176,310,-274.1477,1049.627,166,2,192.168.0.220,6
2163,309,-164.7858,1071.712,169,2,192.168.0.220,0
2164,309,-164.5263,1070.024,172,2,192.168.0.220,1
2165,309,-164.6713,1075.363,175,2,192.168.0.220,2
2166,309,-161.0366,1075.057,178,2,192.168.0.220,3
2167,309,-160.5202,1067.25,181,2,192.168.0.220,4
2168,309,-167.5957,1067.004,184,2,192.168.0.220,5
2169,309,-170.827,1071.304,187,2,192.168.0.220,6
2156,308,-59.83633,1082.654,190,2,192.168.0.220,0
2157,308,-59.74204,1080.949,193,2,192.168.0.220,1
2158,308,-59.36745,1086.277,196,2,192.168.0.220,2
2159,308,-55.7797,1085.619,199,2,192.168.0.220,3
2160,308,-56.02459,1077.799,202,2,192.168.0.220,4
2161,308,-63.09049,1078.242,205,2,192.168.0.220,5
2162,308,-65.88853,1082.836,208,2,192.168.0.220,6
2261,323,-1082.649,59.9247,379,2,192.168.0.220,0
2262,323,-1080.944,59.83041,382,2,192.168.0.220,1
2263,323,-1086.198,60.79027,385,2,192.168.0.220,2
