StalkId,PlantId,x,z,ChannelStart,Universe,IPAddress,StemIndex
190,27,-178.1952,192.6909,67,3,192.168.0.222,1
191,27,-181.3031,197.0345,70,3,192.168.0.222,2
192,27,-178.1195,198.8148,73,3,192.168.0.222,3
193,27,-173.3224,192.6333,76,3,192.168.0.222,4
194,27,-179.049,188.4703,79,3,192.168.0.222,5
195,27,-184.1334,190.2259,82,3,192.168.0.222,6
196,28,1.261394,-267.8998,379,2,192.168.0.226,0
197,28,1.253069,-266.1924,382,2,192.168.0.226,1
198,28,0.6106646,-271.4946,385,2,192.168.0.226,2
199,28,-2.939405,-270.6569,388,2,192.168.0.226,3
200,28,-2.301003,-262.8584,391,2,192.168.0.226,4
201,28,4.733602,-263.657,394,2,192.168.0.226,5
202,28,7.296768,-268.386,397,2,192.168.0.226,6
203,29,182.5112,201.1243,190,2,192.168.0.221,0
204,29,181.364,199.8597,193,2,192.168.0.221,1
205,29,185.4193,203.3354,196,2,192.168.0.221,2
206,29,187.4711,200.3197,199,2,192.168.0.221,3
207,29,181.7326,195.0005,202,2,192.168.0.221,4
208,29,177.0849,200.3412,205,2,192.168.0.221,5
209,29,178.3893,205.5596,208,2,192.168.0.221,6
210,30,-274.0581,-25.354,106,3,192.168.0.224,0
211,30,-272.3579,-25.19644,109,3,192.168.0.224,1
212,30,-277.696,-25.02004,112,3,192.168.0.224,2
213,30,-277.1718,-21.41033,115,3,192.168.0.224,3
214,30,-269.3474,-21.36449,118,3,192.168.0.224,4
215,30,-269.528,-28.44198,121,3,192.168.0.224,5
216,30,-274.0147,-31.40877,124,3,192.168.0.224,6
217,31,222.0683,-168.5989,442,3,192.168.0.225,0
218,31,220.7082,-167.5667,445,3,192.168.0.225,1
219,31,224.5252,-171.3025,448,3,192.168.0.225,2
220,31,221.7004,-173.6102,451,3,192.168.0.225,3
221,31,215.8999,-168.3587,454,3,192.168.0.225,4
222,31,220.8138,-163.2619,457,3,192.168.0.225,5
223,31,226.1263,-164.1051,460,3,192.168.0.225,6
224,32,-50.49379,277.812,379,1,192.168.0.223,0
225,32,-50.18819,276.1322,382,1,192.168.0.223,1
226,32,-50.47916,281.4652,385,1,192.168.0.223,2
227,32,-46.83744,281.2587,388,1,192.168.0.223,3
228,32,-46.10773,273.4682,391,1,192.168.0.223,4
229,32,-53.1739,273.0294,394,1,192.168.0.223,5
230,32,-56.52158,277.2395,397,1,192.168.0.223,6
231,33,-152.2931,-241.9197,169,4,192.168.0.226,0
232,33,-151.3837,-240.4747,172,4,192.168.0.226,1
233,33,-154.7716,-244.6036,175,4,192.168.0.226,2
234,33,-157.3173,-241.9913,178,4,192.168.0.226,3
235,33,-152.593,-235.754,181,4,192.168.0.226,4
236,33,-147.0862,-240.2035,184,4,192.168.0.226,5
237,33,-147.4617,-245.5693,187,4,192.168.0.226,6
238,34,279.0452,76.42776,1,4,192.168.0.221,0
239,34,277.3985,75.97648,4,4,192.168.0.221,1
240,34,282.6857,76.73257,7,4,192.168.0.221,2
241,34,282.7983,73.08675,10,4,192.168.0.221,3
242,34,275.1015,71.67873,13,4,192.168.0.221,4
243,34,274.0465,78.67948,16,4,192.168.0.221,5
244,34,277.9479,82.38242,19,4,192.168.0.221,6
245,35,-260.4258,133.6971,421,2,192.168.0.222,0
246,35,-258.9067,132.9175,424,2,192.168.0.222,1
247,35,-263.3161,135.9314,427,2,192.168.0.222,2
248,35,-260.9364,138.6958,430,2,192.168.0.222,3
249,35,-254.3099,134.5349,433,2,192.168.0.222,4
250,35,-258.2609,128.6602,436,2,192.168.0.222,5
251,35,-263.639,128.5651,439,2,192.168.0.222,6
252,36,102.893,-277.6664,253,1,192.168.0.226,0
253,36,102.2995,-276.0654,256,1,192.168.0.226,1
254,36,103.5149,-281.2662,259,1,192.168.0.226,2
255,36,99.89291,-281.6972,262,1,192.168.0.226,3
256,36,97.81738,-274.1529,265,1,192.168.0.226,4
257,36,104.6991,-272.4899,268,1,192.168.0.226,5
258,36,108.7289,-276.0526,271,1,192.168.0.226,6
259,37,112.9499,277.3388,64,1,192.168.0.221,0
260,37,112.3062,275.7574,67,1,192.168.0.221,1
261,37,114.923,280.4134,70,1,192.168.0.221,2
262,37,117.8849,278.2845,73,1,192.168.0.221,3
263,37,114.3193,271.3196,76,1,192.168.0.221,4
264,37,108.1216,274.7419,79,1,192.168.0.221,5
265,37,107.5567,280.0911,82,1,192.168.0.221,6
266,38,-273.611,-129.6169,463,2,192.168.0.224,0
267,38,-272.0681,-128.8857,466,2,192.168.0.224,1
268,38,-277.1427,-130.5511,469,2,192.168.0.224,2
269,38,-277.8886,-126.9806,472,2,192.168.0.224,3
270,38,-270.5547,-124.2535,475,2,192.168.0.224,4
271,38,-268.2965,-130.9635,478,2,192.168.0.224,5
272,38,-271.4933,-135.2894,481,2,192.168.0.224,6
273,39,292.4299,-90.20641,274,2,192.168.0.225,0
274,39,290.7983,-89.70336,277,2,192.168.0.225,1
275,39,295.6652,-91.90316,280,2,192.168.0.225,2
276,39,293.8034,-95.03981,283,2,192.168.0.225,3
277,39,286.5534,-92.09672,286,2,192.168.0.225,4
278,39,289.4208,-85.62357,289,2,192.168.0.225,5
279,39,294.7001,-84.59317,292,2,192.168.0.225,6
280,40,-156.3275,266.8389,211,4,192.168.0.222,0
281,40,-155.4642,265.3658,214,4,192.168.0.222,1
282,40,-157.5669,270.2754,217,4,192.168.0.222,2
