StalkId,PlantId,x,z,ChannelStart,Universe,IPAddress,StemIndex
140,20,938.3871,-878.4238,484,1,192.168.0.222,0
141,20,937.1406,-877.2571,487,1,192.168.0.222,1
142,20,940.5526,-881.3661,490,1,192.168.0.222,2
143,20,937.5052,-883.3706,493,1,192.168.0.222,3
144,20,932.2764,-877.5497,496,1,192.168.0.222,4
145,20,937.689,-872.9861,499,1,192.168.0.222,5
146,20,942.8863,-874.3718,502,1,192.168.0.222,6
147,21,809.398,-718.4133,22,1,192.168.0.222,0
148,21,808.121,-717.28,25,1,192.168.0.222,1
149,21,811.6406,-721.2972,28,1,192.168.0.222,2
150,21,808.6475,-723.3818,31,1,192.168.0.222,3
151,21,803.2662,-717.7014,34,1,192.168.0.222,4
152,21,808.556,-712.996,37,1,192.168.0.222,5
153,21,813.7882,-714.2435,40,1,192.168.0.222,6
154,22,1189.315,-1538.481,274,1,192.168.0.222,0
155,22,1188.271,-1537.13,277,1,192.168.0.222,1
156,22,1190.983,-1541.731,280,1,192.168.0.222,2
157,22,1187.655,-1543.224,283,1,192.168.0.222,3
158,22,1183.422,-1536.643,286,1,192.168.0.222,4
159,22,1189.494,-1533.002,289,1,192.168.0.222,5
160,22,1194.403,-1535.199,292,1,192.168.0.222,6
161,23,1209.305,-1637.488,253,1,192.168.0.222,0
162,23,1208.29,-1636.115,256,1,192.168.0.222,1
163,23,1210.901,-1640.774,259,1,192.168.0.222,2
164,23,1207.541,-1642.193,262,1,192.168.0.222,3
165,23,1203.453,-1635.521,265,1,192.168.0.222,4
166,23,1209.604,-1632.014,268,1,192.168.0.222,5
167,23,1214.464,-1634.319,271,1,192.168.0.222,6
168,24,1239.24,-2232.524,127,1,192.168.0.222,0
169,24,1238.411,-2231.031,130,1,192.168.0.222,1
170,24,1240.398,-2235.989,133,1,192.168.0.222,2
171,24,1236.883,-2236.962,136,1,192.168.0.222,3
172,24,1233.691,-2229.818,139,1,192.168.0.222,4
173,24,1240.242,-2227.134,142,1,192.168.0.222,5
174,24,1244.764,-2230.047,145,1,192.168.0.222,6
175,25,609.3987,-538.4121,106,4,192.168.0.221,0
176,25,608.1191,-537.2817,109,4,192.168.0.221,1
177,25,611.648,-541.2908,112,4,192.168.0.221,2
178,25,608.6596,-543.3822,115,4,192.168.0.221,3
179,25,603.2653,-537.7143,118,4,192.168.0.221,4
180,25,608.5443,-532.9966,121,4,192.168.0.221,5
181,25,613.7794,-534.2322,124,4,192.168.0.221,6
182,26,660.3843,-625.4258,85,4,192.168.0.221,0
183,26,659.1446,-624.2518,88,4,192.168.0.221,1
184,26,662.5327,-628.3805,91,4,192.168.0.221,2
185,26,659.4737,-630.3673,94,4,192.168.0.221,3
186,26,654.2786,-624.5162,97,4,192.168.0.221,4
187,26,659.7176,-619.984,100,4,192.168.0.221,5
188,26,664.9069,-621.3998,103,4,192.168.0.221,6
189,27,1121.228,-2130.529,253,4,192.168.0.221,0
190,27,1120.432,-2129.018,256,4,192.168.0.221,1
191,27,1122.309,-2134.018,259,4,192.168.0.221,2
192,27,1118.773,-2134.913,262,4,192.168.0.221,3
193,27,1115.741,-2127.7,265,4,192.168.0.221,4
194,27,1122.35,-2125.163,268,4,192.168.0.221,5
195,27,1126.806,-2128.175,271,4,192.168.0.221,6
196,28,1130.24,-2030.523,274,4,192.168.0.221,0
197,28,1129.409,-2029.031,277,4,192.168.0.221,1
198,28,1131.403,-2033.986,280,4,192.168.0.221,2
199,28,1127.889,-2034.964,283,4,192.168.0.221,3
200,28,1124.688,-2027.824,286,4,192.168.0.221,4
201,28,1131.236,-2025.132,289,4,192.168.0.221,5
202,28,1135.762,-2028.04,292,4,192.168.0.221,6
203,29,1134.251,-1935.518,295,4,192.168.0.221,0
204,29,1133.388,-1934.045,298,4,192.168.0.221,1
205,29,1135.491,-1938.954,301,4,192.168.0.221,2
206,29,1131.999,-1940.009,304,4,192.168.0.221,3
207,29,1128.641,-1932.942,307,4,192.168.0.221,4
208,29,1135.128,-1930.106,310,4,192.168.0.221,5
209,29,1139.717,-1932.912,313,4,192.168.0.221,6
210,30,1138.264,-1835.511,316,4,192.168.0.221,0
211,30,1137.364,-1834.06,319,4,192.168.0.221,1
212,30,1139.589,-1838.916,322,4,192.168.0.221,2
213,30,1136.125,-1840.058,325,4,192.168.0.221,3
214,30,1132.591,-1833.077,328,4,192.168.0.221,4
215,30,1139.005,-1830.079,331,4,192.168.0.221,5
216,30,1143.663,-1832.77,334,4,192.168.0.221,6
217,31,1119.273,-1736.506,337,4,192.168.0.221,0
218,31,1118.348,-1735.071,340,4,192.168.0.221,1
219,31,1120.657,-1739.887,343,4,192.168.0.221,2
220,31,1117.213,-1741.09,346,4,192.168.0.221,3
221,31,1113.559,-1734.171,349,4,192.168.0.221,4
222,31,1119.919,-1731.062,352,4,192.168.0.221,5
223,31,1124.623,-1733.671,355,4,192.168.0.221,6
224,32,1042.299,-1445.491,400,4,192.168.0.221,0
225,32,1041.3,-1444.106,403,4,192.168.0.221,1
226,32,1043.857,-1448.795,406,4,192.168.0.221,2
227,32,1040.481,-1450.176,409,4,192.168.0.221,3
228,32,1036.47,-1443.457,412,4,192.168.0.221,4
229,32,1042.66,-1440.021,415,4,192.168.0.221,5
230,32,1047.494,-1442.381,418,4,192.168.0.221,6
231,33,1011.308,-1346.485,421,4,192.168.0.221,0
232,33,1010.283,-1345.12,424,4,192.168.0.221,1
233,33,1012.931,-1349.758,427,4,192.168.0.221,2
234,33,1009.582,-1351.204,430,4,192.168.0.221,3
235,33,1005.441,-1344.565,433,4,192.168.0.221,4
236,33,1011.563,-1341.009,436,4,192.168.0.221,5
