BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
0,293.1751,59.23135,299.0986,78.57806,1,Path20,80,299.0066,-7.422168
1,211.4946,211.4946,299.0986,45,22,Path20,45,299.0985,-2.157919E-05
2,59.23133,293.1751,299.0986,11.42194,43,Path20,10,299.0066,7.422134
3,-59.23132,293.1751,299.0986,348.5781,169,Path6,350,299.0065,-7.422136
4,-211.4946,211.4946,299.0986,315,148,Path6,315,299.0985,-2.157919E-05
5,-293.1751,59.23132,299.0986,281.4219,127,Path6,280,299.0066,7.4221
6,-293.175,-59.23137,299.0986,258.578,316,Path13,260,299.0065,-7.422186
7,-211.4946,-211.4947,299.0986,225,337,Path13,225,299.0986,-6.473756E-05
8,-59.23127,-293.1751,299.0986,191.4219,358,Path13,190,299.0065,7.422102
9,59.23142,-293.175,299.0986,168.578,232,Path27,170,299.0065,-7.422258
10,211.4947,-211.4945,299.0986,135,211,Path27,135,299.0986,-0.0001726335
11,293.1751,-59.23122,299.0986,101.4219,190,Path27,100,299.0065,7.421964
12,414.4017,59.42411,418.6407,81.83957,484,Path20,80,418.425,13.43879
13,374.394,187.3209,418.6407,63.4198,463,Path20,65,418.4815,-11.54465
14,296.0236,296.0237,418.6406,45,442,Path20,45,418.6406,-6.823938E-05
15,187.3209,374.394,418.6407,26.5802,421,Path20,25,418.4814,11.54464
16,59.42407,414.4017,418.6407,8.160431,400,Path20,10,418.4249,-13.43885
17,-59.42415,414.4017,418.6407,351.8396,22,Path6,350,418.425,13.43875
18,-187.3209,374.394,418.6407,333.4198,43,Path6,335,418.4814,-11.54465
19,-296.0237,296.0236,418.6406,315,64,Path6,315,418.6406,-6.823938E-05
20,-374.394,187.3207,418.6406,296.5802,85,Path6,295,418.4814,11.54446
21,-414.4017,59.4239,418.6407,278.1604,106,Path6,280,418.4249,-13.43903
22,-414.4016,-59.42427,418.6406,261.8395,295,Path13,260,418.4248,13.43862
23,-374.394,-187.3211,418.6407,243.4198,274,Path13,245,418.4815,-11.54484
24,-296.0234,-296.0238,418.6406,225,253,Path13,225,418.6406,-0.0003244063
25,-187.3206,-374.3942,418.6407,206.5802,232,Path13,205,418.4814,11.54435
26,-59.42373,-414.4018,418.6407,188.1604,211,Path13,190,418.4249,-13.43913
27,59.42454,-414.4016,418.6406,171.8395,85,Path27,170,418.4249,13.43832
28,187.3213,-374.3938,418.6407,153.4197,106,Path27,155,418.4814,-11.54516
29,296.024,-296.0233,418.6406,134.9999,127,Path27,135,418.6406,-0.0006042172
30,374.3943,-187.3203,418.6406,116.5801,148,Path27,115,418.4815,11.54393
31,414.4018,-59.42347,418.6406,98.16034,169,Path27,100,418.4249,-13.43953
32,534.8831,59.50359,538.1827,83.65216,253,Path20,85,538.0338,-12.65903
33,508.1484,177.2731,538.1827,70.76813,274,Path20,70,538.1343,7.214761
34,455.8268,286.1164,538.1827,57.88406,295,Path20,60,537.8157,-19.87067
35,380.5526,380.5526,538.1827,45,316,Path20,45,538.1827,0
36,286.1164,455.8268,538.1827,32.11594,337,Path20,30,537.8158,19.87072
37,177.2732,508.1484,538.1827,19.23187,358,Path20,20,538.1343,-7.214726
38,59.50359,534.8831,538.1827,6.347839,379,Path20,5,538.0338,12.659
39,-59.50358,534.8831,538.1827,353.6522,1,Path6,355,538.0338,-12.65901
40,-177.2731,508.1484,538.1827,340.7681,484,Path6,340,538.1343,7.214761
