BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
411,161.9338,-1175.098,1186.203,172.1538,22,Path14,170,1185.365,44.58001
412,262.8026,-1156.725,1186.204,167.2,1,Path14,165,1185.329,45.53478
413,361.708,-1129.71,1186.203,162.2461,484,Path13,160,1185.292,46.4893
414,457.9112,-1094.256,1186.203,157.2922,463,Path13,155,1185.254,47.44384
415,550.6934,-1050.626,1186.203,152.3384,442,Path13,150,1185.216,48.39846
416,639.3615,-999.1474,1186.203,147.3845,421,Path13,145,1185.176,49.35301
417,723.2527,-940.2041,1186.203,142.4307,400,Path13,140,1185.136,50.30766
418,801.7411,-874.2368,1186.203,137.4768,379,Path13,135,1185.095,51.26196
419,874.2396,-801.738,1186.203,132.523,358,Path13,135,1185.095,-51.26658
420,940.2067,-723.2495,1186.203,127.5691,337,Path13,130,1185.136,-50.31222
421,999.1497,-639.3579,1186.203,122.6153,316,Path13,125,1185.176,-49.35756
422,1050.628,-550.6897,1186.203,117.6614,295,Path13,120,1185.215,-48.40302
423,1094.257,-457.9074,1186.203,112.7076,274,Path13,115,1185.254,-47.44828
424,1129.712,-361.7039,1186.203,107.7537,253,Path13,110,1185.292,-46.49393
425,1156.726,-262.7985,1186.203,102.7998,232,Path13,105,1185.329,-45.53925
426,1175.099,-161.9296,1186.204,97.84598,211,Path13,100,1185.365,-44.58463
427,1184.693,-59.85096,1186.203,92.89215,190,Path13,95,1185.401,-43.6299
