StalkId,PlantId,x,z,ChannelStart,Universe,IPAddress,StemIndex
2658,379,-552.0496,1045.788,268,1,192.168.1.229,5
2659,379,-556.5005,1048.808,271,1,192.168.1.229,6
2646,378,-458.0895,1094.8,274,1,192.168.1.229,0
2647,378,-457.4305,1093.224,277,1,192.168.1.229,1
2648,378,-458.8596,1098.371,280,1,192.168.1.229,2
2649,378,-455.2584,1098.951,283,1,192.168.1.229,3
2650,378,-452.8732,1091.499,286,1,192.168.1.229,4
2651,378,-459.6804,1089.553,289,1,192.168.1.229,5
2652,378,-463.8539,1092.946,292,1,192.168.1.229,6
2639,377,-361.8389,1130.267,295,1,192.168.1.229,0
2640,377,-361.3183,1128.641,298,1,192.168.1.229,1
2641,377,-362.2977,1133.892,301,1,192.168.1.229,2
2642,377,-358.6599,1134.159,304,1,192.168.1.229,3
2643,377,-356.9271,1126.528,307,1,192.168.1.229,4
2644,377,-363.8768,1125.178,310,1,192.168.1.229,5
2645,377,-367.7417,1128.919,313,1,192.168.1.229,6
2632,376,-262.8849,1157.292,316,1,192.168.1.229,0
2633,376,-262.5066,1155.627,319,1,192.168.1.229,1
2634,376,-263.029,1160.942,322,1,192.168.1.229,2
2635,376,-259.3817,1160.894,325,1,192.168.1.229,3
2636,376,-258.3143,1153.143,328,1,192.168.1.229,4
2637,376,-265.3547,1152.397,331,1,192.168.1.229,5
2638,376,-268.8821,1156.458,334,1,192.168.1.229,6
2625,375,-161.967,1175.67,337,1,192.168.1.229,0
2626,375,-161.7339,1173.978,340,1,192.168.1.229,1
2627,375,-161.7953,1179.319,343,1,192.168.1.229,2
2628,375,-158.1659,1178.956,346,1,192.168.1.229,3
2629,375,-157.7718,1171.141,349,1,192.168.1.229,4
2630,375,-164.8503,1171.007,352,1,192.168.1.229,5
2631,375,-168.0139,1175.357,355,1,192.168.1.229,6
2618,374,-59.83911,1185.265,358,1,192.168.1.229,0
2619,374,-59.75295,1183.559,361,1,192.168.1.229,1
2620,374,-59.35294,1188.885,364,1,192.168.1.229,2
2621,374,-55.76837,1188.21,367,1,192.168.1.229,3
2622,374,-56.05058,1180.391,370,1,192.168.1.229,4
2623,374,-63.11428,1180.868,373,1,192.168.1.229,5
2624,374,-65.89037,1185.475,376,1,192.168.1.229,6
2261,323,-1082.65,59.92473,379,1,192.168.1.229,0
2262,323,-1080.945,59.83044,382,1,192.168.1.229,1
2263,323,-1086.199,60.7903,385,1,192.168.1.229,2
2264,323,-1085.149,64.28362,388,1,192.168.1.229,3
2265,323,-1077.403,63.17775,391,1,192.168.1.229,4
2266,323,-1078.623,56.20384,394,1,192.168.1.229,5
2267,323,-1083.498,53.92948,397,1,192.168.1.229,6
2254,322,-1071.699,164.8735,400,1,192.168.1.229,0
2255,322,-1070.011,164.614,403,1,192.168.1.229,1
2256,322,-1075.147,166.0799,406,1,192.168.1.229,2
2257,322,-1073.763,169.4547,409,1,192.168.1.229,3
2258,322,-1066.161,167.6012,412,1,192.168.1.229,4
2259,322,-1068.053,160.7789,415,1,192.168.1.229,5
2260,322,-1073.125,158.9891,418,1,192.168.1.229,6
2247,321,-1050.599,268.2609,421,1,192.168.1.229,0
2248,321,-1048.944,267.8386,424,1,192.168.1.229,1
2249,321,-1053.913,269.7968,427,1,192.168.1.229,2
2250,321,-1052.208,273.0211,430,1,192.168.1.229,3
2251,321,-1044.822,270.4374,433,1,192.168.1.229,4
2252,321,-1047.368,263.8313,436,1,192.168.1.229,5
2253,321,-1052.591,262.543,439,1,192.168.1.229,6
2240,320,-1019.549,369.108,442,1,192.168.1.229,0
2241,320,-1017.944,368.5268,445,1,192.168.1.229,1
2242,320,-1022.699,370.9588,448,1,192.168.1.229,2
2243,320,-1020.688,374.002,451,1,192.168.1.229,3
2244,320,-1013.589,370.7126,454,1,192.168.1.229,4
2245,320,-1016.765,364.3853,457,1,192.168.1.229,5
2246,320,-1022.088,363.6107,460,1,192.168.1.229,6
2233,319,-978.8448,466.4594,463,1,192.168.1.229,0
2234,319,-977.3035,465.7249,466,1,192.168.1.229,1
