BaseId,x,z,DistFromCtr,Theta,ChannelStart,Id,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
401,-59.60521,-1373.684,1374.977,182.4846,43,7,180,1373.684,59.60523
402,59.60852,-1373.684,1374.977,177.5153,421,21,180,1373.684,-59.60851
403,179.1491,-1363.256,1374.977,172.5135,400,21,175,1373.683,-59.65173
404,297.3252,-1342.445,1374.977,167.5117,379,21,170,1373.68,-59.69497
405,413.2368,-1311.41,1374.977,162.5099,358,21,165,1373.679,-59.73815
406,526.0012,-1270.387,1374.977,157.5081,337,21,160,1373.677,-59.78141
407,634.7596,-1219.689,1374.977,152.5063,316,21,155,1373.675,-59.82469
408,738.6835,-1159.702,1374.977,147.5045,295,21,150,1373.673,-59.86789
409,836.9816,-1090.882,1374.977,142.5027,274,21,145,1373.671,-59.91116
410,928.9052,-1013.754,1374.977,137.5009,253,21,140,1373.669,-59.95433
411,1013.754,-928.905,1374.977,132.4991,232,21,130,1373.669,59.95372
412,1090.882,-836.9814,1374.977,127.4973,211,21,125,1373.671,59.91058
413,1159.702,-738.6833,1374.977,122.4955,190,21,120,1373.673,59.86718
414,1219.69,-634.7594,1374.977,117.4937,169,21,115,1373.675,59.82398
415,1270.388,-526.001,1374.977,112.4919,148,21,110,1373.677,59.78081
416,1311.41,-413.2366,1374.977,107.4901,127,21,105,1373.679,59.73756
417,1342.445,-297.3249,1374.977,102.4883,106,21,100,1373.681,59.69433
418,1363.256,-179.1488,1374.977,97.48648,85,21,95,1373.682,59.65108
419,1373.684,-59.60826,1374.977,92.48468,64,21,90,1373.684,59.60851

Id,Host,Universe,ChannelStart,Fixture0,Fixture1,DistanceFt
  0,192.168.0.220,1,1,383,382,9.999563
  0,192.168.0.220,1,1,382,381,9.999567
  0,192.168.0.220,1,1,381,380,9.999566
  0,192.168.0.220,1,1,380,379,9.999563
  0,192.168.0.220,1,1,379,378,9.99956
  0,192.168.0.220,1,1,378,377,9.999579
  0,192.168.0.220,1,1,377,376,9.999565
  0,192.168.0.220,1,1,376,375,9.999563
  0,192.168.0.220,1,1,375,374,9.99956
  0,192.168.0.220,1,1,374,373,9.999572
  0,192.168.0.220,1,1,373,372,9.999568
  0,192.168.0.220,1,1,372,371,9.999565
  0,192.168.0.220,1,1,371,370,9.999549
  0,192.168.0.220,1,1,370,369,9.999553
  0,192.168.0.220,1,1,369,368,9.999552
  0,192.168.0.220,1,1,368,367,9.999548
  0,192.168.0.220,1,1,367,366,9.999556
  1,192.168.0.220,2,379,315,314,10.28908
  1,192.168.0.220,2,379,314,313,10.28908
  1,192.168.0.220,2,379,313,312,10.28907
  1,192.168.0.220,2,379,312,311,10.28907
  1,192.168.0.220,2,379,311,310,10.28908
  1,192.168.0.220,2,379,310,309,10.28908
  1,192.168.0.220,2,379,309,308,10.28908
  1,192.168.0.220,2,379,308,307,10.28907
  1,192.168.0.220,2,379,307,306,10.28908
  1,192.168.0.220,2,379,306,305,10.28908
  1,192.168.0.220,2,379,305,304,10.28907
  1,192.168.0.220,2,379,304,303,10.28908
  1,192.168.0.220,2,379,303,302,10.28907
  1,192.168.0.220,2,379,302,301,10.28908
  1,192.168.0.220,2,379,301,300,10.28907
  2,192.168.0.220,3,211,255,254,10.66746
  2,192.168.0.220,3,211,254,253,10.66746
  2,192.168.0.220,3,211,253,252,10.66746
  2,192.168.0.220,3,211,252,251,10.66746
  2,192.168.0.220,3,211,251,250,10.66745
  2,192.168.0.220,3,211,250,249,10.66747
  2,192.168.0.220,3,211,249,248,10.66746
  2,192.168.0.220,3,211,248,247,10.66745
  2,192.168.0.220,3,211,247,246,10.66747
  2,192.168.0.220,3,211,246,245,10.66744
  2,192.168.0.220,3,211,245,244,10.66746
  2,192.168.0.220,3,211,244,243,10.66746
  2,192.168.0.220,3,211,243,242,10.66746
  3,192.168.0.220,4,1,201,200,10.25225
  3,192.168.0.220,4,1,200,199,10.25225
  3,192.168.0.220,4,1,199,198,10.25225
  3,192.168.0.220,4,1,198,197,10.25225
  3,192.168.0.220,4,1,197,196,10.25226
  3,192.168.0.220,4,1,196,195,10.25225
  3,192.168.0.220,4,1,195,194,10.25225
  3,192.168.0.220,4,1,194,193,10.25226
  3,192.168.0.220,4,1,193,192,10.25226
  3,192.168.0.220,4,1,192,191,10.25226
  3,192.168.0.220,4,1,191,190,10.25226
  3,192.168.0.220,4,1,190,189,10.25226
  4,192.168.0.221,1,274,153,152,10.73618
  4,192.168.0.221,1,274,152,151,10.73619
  4,192.168.0.221,1,274,151,150,10.73618
  4,192.168.0.221,1,274,150,149,10.73619
  4,192.168.0.221,1,274,149,148,10.73618
  4,192.168.0.221,1,274,148,147,10.73618
  4,192.168.0.221,1,274,147,146,10.73619
  4,192.168.0.221,1,274,146,145,10.73617
  4,192.168.0.221,1,274,145,144,10.73618
  4,192.168.0.221,1,274,144,143,10.73618
  5,192.168.0.221,2,1,111,110,10.19017
  5,192.168.0.221,2,1,110,109,10.19017
  5,192.168.0.221,2,1,109,108,10.19018
  5,192.168.0.221,2,1,108,107,10.19017
  5,192.168.0.221,2,1,107,106,10.19017
  5,192.168.0.221,2,1,106,105,10.19017
  5,192.168.0.221,2,1,105,104,10.19018
  5,192.168.0.221,2,1,104,103,10.19016
  5,192.168.0.221,2,1,103,102,10.19017
  5,192.168.0.221,2,1,102,68,9.996415
  5,192.168.0.221,2,1,68,69,10.86191
  5,192.168.0.221,2,1,69,70,10.86191
  5,192.168.0.221,2,1,70,71,10.86191
  5,192.168.0.221,2,1,71,72,10.86191
  5,192.168.0.221,2,1,72,73,10.86191
  5,192.168.0.221,2,1,73,74,10.86191
  5,192.168.0.221,2,1,74,75,10.86191
  6,192.168.0.221,3,379,45,44,10.06382
  6,192.168.0.221,3,379,44,43,10.06383
  6,192.168.0.221,3,379,43,42,10.06382
  6,192.168.0.221,3,379,42,41,10.06382
  6,192.168.0.221,3,379,41,40,10.06382
  6,192.168.0.221,3,379,40,39,10.06382
  6,192.168.0.221,3,379,39,17,10.04011
  6,192.168.0.221,3,379,17,18,11.16735
  6,192.168.0.221,3,379,18,19,11.16735
  6,192.168.0.221,3,379,19,20,11.16735
  6,192.168.0.221,3,379,20,21,11.16735
  6,192.168.0.221,3,379,21,5,10.10223
  6,192.168.0.221,3,379,5,4,14.39902
  6,192.168.0.221,3,379,4,3,14.39902
  7,192.168.0.221,4,190,384,385,9.999564
  7,192.168.0.221,4,190,385,386,9.999567
  7,192.168.0.221,4,190,386,387,9.999567
  7,192.168.0.221,4,190,387,388,9.999565
  7,192.168.0.221,4,190,388,389,9.999565
  7,192.168.0.221,4,190,389,390,9.999555
  7,192.168.0.221,4,190,390,391,9.999578
  7,192.168.0.221,4,190,391,392,9.999561
  7,192.168.0.221,4,190,392,393,9.99956
  7,192.168.0.221,4,190,393,394,9.999574
  7,192.168.0.221,4,190,394,395,9.999541
  7,192.168.0.221,4,190,395,396,9.999538
  7,192.168.0.221,4,190,396,397,9.999538
  7,192.168.0.221,4,190,397,398,9.999537
  7,192.168.0.221,4,190,398,399,9.999536
  7,192.168.0.221,4,190,399,400,9.999536
  7,192.168.0.221,4,190,400,401,9.999539
  8,192.168.0.222,1,64,316,317,10.28908
  8,192.168.0.222,1,64,317,318,10.28907
  8,192.168.0.222,1,64,318,319,10.28907
  8,192.168.0.222,1,64,319,320,10.28908
  8,192.168.0.222,1,64,320,321,10.28907
  8,192.168.0.222,1,64,321,322,10.28908
  8,192.168.0.222,1,64,322,323,10.28908
  8,192.168.0.222,1,64,323,324,10.28907
  8,192.168.0.222,1,64,324,325,10.28905
  8,192.168.0.222,1,64,325,326,10.28908
  8,192.168.0.222,1,64,326,327,10.28907
  8,192.168.0.222,1,64,327,328,10.28907
